Date,BTC,ETH,GOLD,OIL,SPY,TSY
12/9/2021,49234.88,4289.044,1775.76,71.61,,
12/8/2021,50634.6,4418.847,1782.99,72.36,,
12/7/2021,50527.71,4291.778,1784.13,72.05,,
12/6/2021,50119.66,4324.332,1778.67,69.49,,
12/3/2021,53655.26,4218.324,1783.29,66.26,,
12/2/2021,56903.44,4547.078,1768.74,66.5,,
12/1/2021,57029.07,4568.775,1781.73,65.57,,
11/30/2021,57138.56,4630.624,1774.52,66.18,,
11/29/2021,58316.88,4453.147,1784.6,69.95,,
11/26/2021,54019.73,4071.913,1802.59,68.15,,
11/25/2021,58855.14,4501.431,1788.85,#N/A,,
11/24/2021,57332.45,4259.359,1788.61,78.39,,
11/23/2021,57709.08,4351.951,1789.16,78.5,,
11/22/2021,56278,4080.565,1804.65,76.75,,
11/19/2021,57869.62,4280.124,1845.73,75.94,,
11/18/2021,57594.68,4023.68,1858.94,78.41,,
11/17/2021,60117.19,4256.639,1867.48,77.55,,
11/16/2021,60488.49,4256.639,1850.63,79.74,,
11/15/2021,63899.87,4571.04,1862.84,79.75,,
11/12/2021,64100.67,4656.154,1864.9,79.69,,
11/11/2021,65069.88,4745.715,1862.11,80.42,,
11/10/2021,64291.98,4554.199,1849.6,80.06,,
11/9/2021,67733.22,4799.471,1831.92,82.56,,
11/8/2021,66138.53,4772.779,1824.18,80.74,,
11/5/2021,60976.19,4454.162,1818.36,80.13,,
11/4/2021,61365.04,4514.983,1792.04,77.7,,
11/3/2021,62776.05,4617.768,1769.84,79.57,,
11/2/2021,63141.96,4504.787,1787.76,82.44,,
11/1/2021,60727.51,4311.813,1793.28,82.45,,
10/29/2021,62395.65,4402.918,1783.38,81.78,,
10/28/2021,61395.57,4254.535,1798.91,81.46,,
10/27/2021,58924.75,3983.3,1796.81,81.48,,
10/26/2021,62096.89,4263.256,1792.91,83.36,,
10/25/2021,62545.21,4179.853,1807.73,82.61,,
10/22/2021,60726,3976.75,1792.65,82.5,,
10/21/2021,62680.41,4090.43,1782.9,81.36,,
10/20/2021,65995.41,4108.351,1782.08,82.38,,
10/19/2021,64121.3,3806.478,1769.29,81.5,,
10/18/2021,61367.75,3733.935,1764.86,80.74,,
10/15/2021,62526.66,3880.897,1767.62,80.88,,
10/14/2021,57443.03,3758.73,1795.87,80.05,,
10/13/2021,56982.86,3573.91,1792.97,79.12,,
10/12/2021,55362.58,3478.5,1760.18,79.19,,
10/11/2021,57341.49,3491.85,1754.15,79.25,,
10/8/2021,53993.3,3555.54,1757.13,78.03,,
10/7/2021,54184.24,3624.535,1755.78,77.45,,
10/6/2021,54936.9,3561.605,1762.74,76.59,,
10/5/2021,51474.18,3526.005,1760.18,78.09,,
10/4/2021,49004.36,3384.04,1769.57,76.88,,
10/1/2021,48132.89,3292.395,1760.98,75.12,,
9/30/2021,43436.34,2972.48,1756.95,74.19,,
9/29/2021,41125.05,2821.323,1726.37,73.99,,
9/28/2021,41785.9,2863.415,1734.01,74.33,,
9/27/2021,42706.98,2955.55,1750.16,74.53,,
9/24/2021,42981.54,2946.04,1750.42,73.07,,
9/23/2021,44710.28,3142.03,1742.76,72.42,,
9/22/2021,43451.15,3027.605,1768.16,71.4,,
9/21/2021,40927.18,2765.44,1774.51,69.67,,
9/20/2021,43537.87,3018.587,1764.16,69.21,,
9/17/2021,46990.34,3377.155,1754.34,70.81,,
9/16/2021,47149.38,3497.63,1753.77,71.33,,
9/15/2021,47941.58,3553.875,1794.06,71.26,,
9/14/2021,46828.17,3377.22,1804.51,69.38,,
9/13/2021,45187.51,3290.055,1793.75,69.37,,
9/10/2021,45077.8,3251.348,1787.58,68.72,,
9/9/2021,46256.09,3430.423,1794.58,67.24,,
9/8/2021,46060.71,3472.958,1789.26,68.31,,
9/7/2021,46819,3415.857,1794.36,67.53,,
9/6/2021,51934.73,3952.725,1823.29,#N/A,,
9/3/2021,50152.09,3916.415,1827.73,68.46,,
9/2/2021,49562.09,3808.56,1809.66,69.05,,
9/1/2021,48272.5,3730.04,1813.9,67.67,,
8/31/2021,47008.52,3391.777,1813.62,67.6,,
8/30/2021,48648.9,3339.962,1810.34,68.16,,
8/27/2021,48921.81,3262.89,1817.57,67.7,,
8/26/2021,47036.42,3119.26,1792.43,66.28,,
8/25/2021,48712.63,3209.48,1791,67.23,,
8/24/2021,48345.65,3218.013,1802.9,66.44,,
8/23/2021,49515.08,3340.61,1805.43,64.57,,
8/20/2021,48668.02,3259.96,1781.11,61.14,,
8/19/2021,46587.98,3158.083,1780.38,62.42,,
8/18/2021,44546.66,3008.575,1787.82,64.15,,
8/17/2021,44992.09,3072.092,1786.19,65.21,,
8/16/2021,46078.11,3164.07,1787.45,65.89,,
8/13/2021,47609.87,3281.595,1779.74,66.98,,
8/12/2021,44480.11,3067.6,1752.9,67.66,,
8/11/2021,46345.49,3236.343,1751.7,67.71,,
